group,replicate,fastq_1,fastq_2,antibody,control
leaf_H2AZ,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889760.fq.gz,,H2AZ,leaf_input
leaf_H2AZ,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889761.fq.gz,,H2AZ,leaf_input
leaf_H3K27ac,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889762.fq.gz,,H3K27ac,leaf_input
leaf_H3K27ac,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889763.fq.gz,,H3K27ac,leaf_input
leaf_H3K27me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889764.fq.gz,,H3K27me3,leaf_input
leaf_H3K27me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889765.fq.gz,,H3K27me3,leaf_input
leaf_H3K36me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889766.fq.gz,,H3K36me3,leaf_input
leaf_H3K36me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889767.fq.gz,,H3K36me3,leaf_input
leaf_H3K4me1,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889768.fq.gz,,H3K4me1,leaf_input
leaf_H3K4me1,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889769.fq.gz,,H3K4me1,leaf_input
leaf_H3K4me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889770.fq.gz,,H3K4me3,leaf_input
leaf_H3K4me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889771.fq.gz,,H3K4me3,leaf_input
leaf_H3K56ac,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889772.fq.gz,,H3K56ac,leaf_input
leaf_H3K56ac,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889773.fq.gz,,H3K56ac,leaf_input
leaf_H3K9ac,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889774.fq.gz,,H3K9ac,leaf_input
leaf_H3K9ac,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889775.fq.gz,,H3K9ac,leaf_input
leaf_input,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889778.fq.gz,,,
leaf_input,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889779.fq.gz,,,
ear_H3K27me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889780.fq.gz,,H3K27me3,ear_input
ear_H3K27me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889781.fq.gz,,H3K27me3,ear_input
ear_H3K36me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889782.fq.gz,,H3K36me3,ear_input
ear_H3K36me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889783.fq.gz,,H3K36me3,ear_input
ear_H3K4me3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889784.fq.gz,,H3K4me3,ear_input
ear_H3K4me3,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889785.fq.gz,,H3K4me3,ear_input
ear_H3K56ac,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889786.fq.gz,,H3K56ac,ear_input
ear_H3K56ac,2,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889787.fq.gz,,H3K56ac,ear_input
ear_H3,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889788.fq.gz,,H3,ear_input
ear_input,1,/scratch.global/zhoux379/barn/data/fastq/ca19a3/SRR7889789.fq.gz,,,
